날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2006.01.13,694000.0,10000.0,677000.0,694000.0,668000.0,490124.0
2006.01.12,684000.0,1000.0,684000.0,692000.0,681000.0,405859.0
2006.01.11,683000.0,15000.0,693000.0,698000.0,679000.0,356985.0
2006.01.10,698000.0,10000.0,695000.0,701000.0,688000.0,485875.0
2006.01.09,688000.0,1000.0,695000.0,697000.0,683000.0,325507.0
,,,,,,
,,,,,,
,,,,,,
2006.01.06,687000.0,8000.0,685000.0,688000.0,679000.0,353915.0
2006.01.05,679000.0,20000.0,695000.0,695000.0,671000.0,710373.0
2006.01.04,699000.0,34000.0,675000.0,700000.0,673000.0,785812.0
2006.01.03,665000.0,6000.0,660000.0,666000.0,656000.0,358018.0
2006.01.02,659000.0,0.0,664000.0,668000.0,656000.0,419111.0
,,,,,,
